time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-26 00:00:00+00:00,1,1,28,4
2026-01-27 00:00:00+00:00,203,84,30,5
2026-01-28 00:00:00+00:00,133,56,62,8
2026-01-29 00:00:00+00:00,11,5,88,5
2026-01-30 00:00:00+00:00,112,42,12,5
2026-01-31 00:00:00+00:00,12,6,1,1
2026-02-01 00:00:00+00:00,0,0,6,1
2026-02-02 00:00:00+00:00,1,1,61,8
2026-02-03 00:00:00+00:00,9,3,3,2
2026-02-04 00:00:00+00:00,2,2,1,1
2026-02-05 00:00:00+00:00,3,3,11,7
2026-02-06 00:00:00+00:00,76,33,24,8
2026-02-07 00:00:00+00:00,3,3,4,2
2026-02-08 00:00:00+00:00,0,0,1,1
2026-02-09 00:00:00+00:00,192,65,64,6
2026-02-10 00:00:00+00:00,11,7,20,4
2026-02-11 00:00:00+00:00,3,3,16,6
2026-02-12 00:00:00+00:00,19,11,19,1
2026-02-13 00:00:00+00:00,5,4,4,4
2026-02-14 00:00:00+00:00,10,6,2,2
2026-02-15 00:00:00+00:00,12,8,0,0
2026-02-16 00:00:00+00:00,15,11,0,0
2026-02-17 00:00:00+00:00,10,5,0,0
2026-02-18 00:00:00+00:00,14,6,0,0
